,,0,1
no_of_items,count,1434.0,30.0
no_of_items,mean,2.0550906555090656,14.433333333333334
no_of_items,std,1.7218775837060016,7.2048036338472725
variation,count,1434.0,30.0
variation,mean,1.3542538354253835,3.5
variation,std,0.6449324992154194,1.3326147488923863
total,count,1434.0,30.0
total,mean,214.18023012552302,4977.090333333333
total,std,294.2660822118003,3976.5586473529866
paid,count,1434.0,30.0
paid,mean,372.7949790794979,5079.890333333333
paid,std,401.6021783391986,3908.766333394617
change,count,1434.0,30.0
change,mean,165.31564156206417,102.93333333333334
change,std,258.13363412182554,205.67448894381346
month,count,1434.0,30.0
month,mean,9.021617852161786,6.1
month,std,75.08396941595801,3.3150648820820674
year,count,1432.0,30.0
year,mean,2015.891061452514,2016.8666666666666
year,std,48.11481003293021,0.3457459036416875
